,ID,DateTime,AreaNumber,Track,Position,PositionNoLeap,Latitude,Longitude,A1_TotalTel,A1_ValidTel,A2_RSSI,A2_TotalTel,A2_ValidTel
28356134,28396399,2021-05-02 12:15:04,40,4,420773,427523,47.240746278658094,8.189416899431496,138,138,2.36,138,138
28356135,28396400,2021-05-02 12:15:05,40,4,420773,427523,47.240746278658094,8.189416899431496,143,143,2.39,143,143
28356136,28396401,2021-05-02 12:15:06,40,4,420773,427523,47.240746278658094,8.189416899431496,147,147,2.39,147,147
28356137,28396402,2021-05-02 12:15:07,40,4,420773,427523,47.240746278658094,8.189416899431496,152,152,2.4,152,152
28356138,28396403,2021-05-02 12:15:08,40,4,420773,427523,47.240746278658094,8.189416899431496,156,156,2.43,156,156
28356139,28396404,2021-05-02 12:15:09,40,4,420773,427523,47.240746278658094,8.189416899431496,161,161,2.39,161,161
28356140,28396405,2021-05-02 12:15:10,40,4,420773,427523,47.240746278658094,8.189416899431496,166,166,2.36,166,166
28356141,28396406,2021-05-02 12:15:11,40,4,420773,427523,47.240746278658094,8.189416899431496,170,170,2.4,170,170
28356142,28396407,2021-05-02 12:15:12,40,4,420773,427523,47.240746278658094,8.189416899431496,175,175,2.4,175,175
28356143,28396408,2021-05-02 12:15:13,40,4,420773,427523,47.240746278658094,8.189416899431496,179,179,2.43,179,179
28356144,28396409,2021-05-02 12:15:14,40,4,420773,427523,47.240746278658094,8.189416899431496,184,184,2.43,184,184
28356145,28396410,2021-05-02 12:15:15,40,4,420773,427523,47.240746278658094,8.189416899431496,189,189,2.4,189,189
28356146,28396411,2021-05-02 12:15:16,40,4,420773,427523,47.240746278658094,8.189416899431496,193,193,2.4,193,193
28356147,28396412,2021-05-02 12:15:17,40,4,420773,427523,47.240746278658094,8.189416899431496,198,198,2.43,198,198
28356148,28396413,2021-05-02 12:15:18,40,4,420773,427523,47.240746278658094,8.189416899431496,203,203,2.4,203,203
28356149,28396414,2021-05-02 12:15:19,40,4,420773,427523,47.240746278658094,8.189416899431496,207,207,2.43,207,207
28356150,28396415,2021-05-02 12:15:20,40,4,420773,427523,47.240746278658094,8.189416899431496,212,212,2.4,212,212
28356151,28396416,2021-05-02 12:15:21,40,4,420773,427523,47.240746278658094,8.189416899431496,216,216,2.43,216,216
28356152,28396417,2021-05-02 12:15:22,40,4,420773,427523,47.240746278658094,8.189416899431496,221,221,2.4,221,221
28356153,28396418,2021-05-02 12:15:23,40,4,420773,427523,47.240746278658094,8.189416899431496,226,226,2.36,226,226
28356154,28396419,2021-05-02 12:15:24,40,4,420773,427523,47.240746278658094,8.189416899431496,230,230,2.43,230,230
28356155,28396420,2021-05-02 12:15:25,40,4,420773,427523,47.240746278658094,8.189416899431496,234,234,2.4,234,234
28356156,28396421,2021-05-02 12:15:26,40,4,420773,427523,47.240746278658094,8.189416899431496,239,239,2.43,239,239
28356157,28396422,2021-05-02 12:15:27,40,4,420773,427523,47.240746278658094,8.189416899431496,244,244,2.4,244,244
28356158,28396423,2021-05-02 12:15:28,40,4,420773,427523,47.240746278658094,8.189416899431496,248,248,2.39,248,248
28356159,28396424,2021-05-02 12:15:29,40,4,420773,427523,47.240746278658094,8.189416899431496,253,253,2.43,253,253
