,ID,DateTime,CurrentVelocity,AllowedVelocity,EmergencyStopLimit
27096728,16966522,2021-05-01 07:51:04,0,0,0
27096729,16966523,2021-05-01 07:51:05,0,0,0
27096730,16966524,2021-05-01 07:51:06,0,0,0
27096731,16966525,2021-05-01 07:51:07,0,0,0
27096732,16966526,2021-05-01 07:51:08,0,0,0
27096733,16966527,2021-05-01 07:51:09,0,0,0
27096734,16966528,2021-05-01 07:51:10,0,0,0
27096735,16966529,2021-05-01 07:51:11,0,0,0
27096736,16966530,2021-05-01 07:51:12,0,0,0
27096737,16966531,2021-05-01 07:51:13,0,0,0
27096738,16966532,2021-05-01 07:51:14,0,0,0
27096739,16966533,2021-05-01 07:51:15,0,0,0
27096740,16966534,2021-05-01 07:51:16,0,0,0
27096741,16966535,2021-05-01 07:51:17,0,0,0
27096742,16966536,2021-05-01 07:51:18,0,0,0
27096743,16966537,2021-05-01 07:51:19,0,0,0
27096744,16966538,2021-05-01 07:51:20,0,0,0
27096745,16966539,2021-05-01 07:51:21,0,0,0
27096746,16966540,2021-05-01 07:51:22,0,0,0
27096747,16966541,2021-05-01 07:51:23,0,0,0
27096748,16966542,2021-05-01 07:51:24,0,0,0
27096749,16966543,2021-05-01 07:51:25,0,0,0
27096750,16966544,2021-05-01 07:51:26,0,0,0
27096751,16966545,2021-05-01 07:51:27,0,0,0
27096752,16966546,2021-05-01 07:51:28,0,0,0
27096753,16966547,2021-05-01 07:51:29,0,0,0
27096754,16966548,2021-05-01 07:51:30,0,0,0
27096755,16966549,2021-05-01 07:51:31,0,0,0
27096756,16966550,2021-05-01 07:51:32,0,0,0
27096757,16966551,2021-05-01 07:51:33,0,0,0
27096758,16966552,2021-05-01 07:51:34,0,0,0
27096759,16966553,2021-05-01 07:51:35,0,0,0
27096760,16966554,2021-05-01 07:51:36,0,0,0
27096761,16966555,2021-05-01 07:51:37,0,0,0
27096762,16966556,2021-05-01 07:51:38,0,0,0
27096763,16966557,2021-05-01 07:51:39,0,0,0
27096764,16966558,2021-05-01 07:51:40,0,0,0
27096765,16966559,2021-05-01 07:51:41,0,0,0
27096766,16966560,2021-05-01 07:51:42,0,0,0
27096767,16966561,2021-05-01 07:51:43,0,0,0
27096768,16966562,2021-05-01 07:51:44,0,0,0
27096769,16966563,2021-05-01 07:51:45,0,0,0
27096770,16966564,2021-05-01 07:51:46,0,0,0
27096771,16966565,2021-05-01 07:51:47,0,0,0
27096772,16966566,2021-05-01 07:51:48,0,0,0
27096773,16966567,2021-05-01 07:51:49,0,0,0
27096774,16966568,2021-05-01 07:51:50,0,0,0
27096775,16966569,2021-05-01 07:51:51,0,0,0
27096776,16966570,2021-05-01 07:51:52,0,0,0
27096777,16966571,2021-05-01 07:51:53,0,0,0
27096778,16966572,2021-05-01 07:51:54,0,0,0
27096779,16966573,2021-05-01 07:51:55,0,0,0
27096780,16966574,2021-05-01 07:51:56,0,0,0
27096781,16966575,2021-05-01 07:51:57,0,0,0
27096782,16966576,2021-05-01 07:51:58,0,0,0
27096783,16966577,2021-05-01 07:51:59,0,0,0
27096784,16966578,2021-05-01 07:52:00,0,0,0
27096785,16966579,2021-05-01 07:52:01,0,0,0
27096786,16966580,2021-05-01 07:52:02,0,0,0
27096787,16966581,2021-05-01 07:52:03,0,0,0
27096788,16966582,2021-05-01 07:52:04,0,0,0
27096789,16966583,2021-05-01 07:52:05,0,0,0
27096790,16966584,2021-05-01 07:52:06,0,0,0
27096791,16966585,2021-05-01 07:52:07,0,0,0
27096792,16966586,2021-05-01 07:52:08,0,0,0
