,ID,DateTime,CurrentVelocity,AllowedVelocity,EmergencyStopLimit
27431636,17301445,2021-05-07 07:51:04,0,34,38
27431637,17301446,2021-05-07 07:51:05,0,34,38
27431638,17301447,2021-05-07 07:51:06,0,34,38
27431639,17301448,2021-05-07 07:51:07,0,34,38
27431640,17301449,2021-05-07 07:51:08,0,34,38
27431641,17301450,2021-05-07 07:51:09,0,34,38
27431642,17301451,2021-05-07 07:51:10,0,34,38
27431643,17301452,2021-05-07 07:51:11,0,34,38
27431644,17301453,2021-05-07 07:51:12,0,34,38
27431645,17301454,2021-05-07 07:51:13,0,34,38
27431646,17301455,2021-05-07 07:51:14,0,34,38
27431647,17301456,2021-05-07 07:51:15,0,34,38
27431648,17301457,2021-05-07 07:51:16,0,34,38
27431649,17301458,2021-05-07 07:51:17,0,34,38
27431650,17301459,2021-05-07 07:51:18,0,34,38
27431651,17301460,2021-05-07 07:51:19,0,34,38
27431652,17301461,2021-05-07 07:51:20,0,34,38
27431653,17301462,2021-05-07 07:51:21,0,34,38
27431654,17301463,2021-05-07 07:51:22,0,34,38
27431655,17301464,2021-05-07 07:51:23,0,34,38
27431656,17301465,2021-05-07 07:51:24,0,34,38
27431657,17301466,2021-05-07 07:51:25,0,34,38
27431658,17301467,2021-05-07 07:51:26,0,34,38
27431659,17301468,2021-05-07 07:51:27,0,34,38
27431660,17301469,2021-05-07 07:51:28,0,34,38
27431661,17301470,2021-05-07 07:51:29,0,34,38
27431662,17301471,2021-05-07 07:51:30,0,34,38
27431663,17301472,2021-05-07 07:51:31,0,34,38
27431664,17301473,2021-05-07 07:51:32,0,34,38
27431665,17301474,2021-05-07 07:51:33,0,34,38
27431666,17301475,2021-05-07 07:51:34,0,34,38
27431667,17301476,2021-05-07 07:51:35,0,34,38
27431668,17301477,2021-05-07 07:51:36,0,34,38
27431669,17301478,2021-05-07 07:51:37,0,34,38
27431670,17301479,2021-05-07 07:51:38,0,34,38
27431671,17301480,2021-05-07 07:51:39,0,34,38
27431672,17301481,2021-05-07 07:51:40,0,34,38
27431673,17301482,2021-05-07 07:51:41,0,34,38
27431674,17301483,2021-05-07 07:51:42,0,34,38
27431675,17301484,2021-05-07 07:51:43,0,34,38
27431676,17301485,2021-05-07 07:51:44,0,34,38
27431677,17301486,2021-05-07 07:51:45,0,34,38
27431678,17301487,2021-05-07 07:51:46,0,34,38
27431679,17301488,2021-05-07 07:51:47,0,34,38
27431680,17301489,2021-05-07 07:51:48,0,34,38
27431681,17301490,2021-05-07 07:51:49,0,34,38
27431682,17301491,2021-05-07 07:51:50,0,34,38
27431683,17301492,2021-05-07 07:51:51,0,34,38
27431684,17301493,2021-05-07 07:51:52,0,34,38
27431685,17301494,2021-05-07 07:51:53,0,34,38
27431686,17301495,2021-05-07 07:51:54,0,34,38
27431687,17301496,2021-05-07 07:51:55,0,34,38
27431688,17301497,2021-05-07 07:51:56,0,34,38
27431689,17301498,2021-05-07 07:51:57,0,34,38
27431690,17301499,2021-05-07 07:51:58,0,34,38
27431691,17301500,2021-05-07 07:51:59,0,34,38
27431692,17301501,2021-05-07 07:52:00,0,34,38
27431693,17301502,2021-05-07 07:52:01,0,34,38
27431694,17301503,2021-05-07 07:52:02,0,34,38
27431695,17301504,2021-05-07 07:52:03,0,34,38
27431696,17301505,2021-05-07 07:52:04,0,34,38
27431697,17301506,2021-05-07 07:52:05,0,34,38
27431698,17301507,2021-05-07 07:52:06,0,34,38
27431699,17301508,2021-05-07 07:52:07,0,34,38
27431700,17301509,2021-05-07 07:52:08,0,34,38
27431701,17301510,2021-05-07 07:52:09,0,34,38
27431702,17301511,2021-05-07 07:52:10,0,34,38
27431703,17301512,2021-05-07 07:52:11,0,34,38
27431704,17301513,2021-05-07 07:52:12,0,34,38
27431705,17301514,2021-05-07 07:52:13,0,34,38
27431706,17301515,2021-05-07 07:52:14,0,34,38
27431707,17301516,2021-05-07 07:52:15,0,34,38
27431708,17301517,2021-05-07 07:52:16,0,34,38
27431709,17301518,2021-05-07 07:52:17,0,34,38
27431710,17301519,2021-05-07 07:52:18,0,34,38
27431711,17301520,2021-05-07 07:52:19,0,34,38
27431712,17301521,2021-05-07 07:52:20,0,34,38
27431713,17301522,2021-05-07 07:52:21,0,34,38
27431714,17301523,2021-05-07 07:52:22,0,34,38
27431715,17301524,2021-05-07 07:52:23,0,34,38
27431716,17301525,2021-05-07 07:52:24,0,34,38
